연령대,총_주중_이용시간,총_주말_이용시간,평균_주중_빈도,평균_주말_빈도,편중_HHI_주중,편중_HHI_주말,B1,C1,is_outlier_3-5세,is_outlier_6-8세,is_outlier_9-11세,cluster_3-5세,dist_3-5세,margin_3-5세,cluster_6-8세,dist_6-8세,margin_6-8세,cluster_9-11세,dist_9-11세,margin_9-11세
3-5세,180,180,1.5,0.75,0.5555555555555556,0.5555555555555556,4,4,0.0,,,2.0,1.1744787775717553,0.19863896418036253,,,,,,
3-5세,150,240,2.5,1.0,0.3600000000000001,0.34375,3,5,0.0,,,2.0,0.64007707656526,1.373523130273293,,,,,,
3-5세,240,660,1.25,0.75,1.0,0.8347107438016528,4,4,0.0,,,1.0,3.2413349380212195,0.913773241002835,,,,,,
3-5세,210,210,2.5,1.0,0.4285714285714285,0.4285714285714285,3,4,0.0,,,2.0,0.6091065463409832,1.4516043589717,,,,,,
3-5세,120,240,2.5,1.0,0.5,0.5,3,3,0.0,,,2.0,0.7297988583499577,1.0725306839991262,,,,,,
3-5세,0,60,0.0,0.25,0.0,1.0,6,6,0.0,,,1.0,1.8281323141675847,1.9085751703793108,,,,,,
3-5세,180,210,2.0,0.75,0.3888888888888889,0.510204081632653,6,5,0.0,,,2.0,1.058281321392831,0.4533435622983153,,,,,,
3-5세,120,120,1.75,0.5,0.5,0.5,5,5,0.0,,,2.0,0.8373876230952874,1.0997536365141483,,,,,,
3-5세,90,210,2.0,1.0,0.654320987654321,0.7551020408163265,3,3,0.0,,,2.0,1.2521402488126985,0.0784640952345037,,,,,,
3-5세,210,240,3.75,1.5,0.4285714285714285,0.375,3,5,0.0,,,2.0,1.2402418801828996,2.033146879613465,,,,,,
3-5세,60,60,0.75,0.25,1.0,1.0,4,9,0.0,,,1.0,1.0319169673901325,2.2220177939003385,,,,,,
3-5세,120,300,1.25,0.5,1.0,1.0,2,3,0.0,,,1.0,1.5065141017575707,0.6852658516815329,,,,,,
3-5세,90,90,1.5,1.0,0.5555555555555556,0.5555555555555556,6,6,0.0,,,2.0,1.0860393289067676,0.7434753825222393,,,,,,
3-5세,30,30,0.5,0.25,1.0,1.0,5,6,0.0,,,1.0,1.2615115319994352,2.278213982667983,,,,,,
3-5세,120,120,0.75,0.5,0.5,0.5,3,3,0.0,,,1.0,0.7545903636550848,1.5737325710454815,,,,,,
3-5세,120,300,0.75,0.5,1.0,1.0,4,5,0.0,,,1.0,1.5374261060611625,0.870515977665776,,,,,,
3-5세,40,190,2.5,1.5,0.625,0.5013850415512465,5,5,0.0,,,2.0,1.5902334837249301,0.7490057639932222,,,,,,
3-5세,100,90,3.25,1.25,0.26,0.2592592592592592,5,5,0.0,,,2.0,1.7454253640091297,0.7675132776271558,,,,,,
3-5세,240,180,3.0,0.75,0.375,0.3333333333333333,6,6,0.0,,,2.0,1.2409158555721091,1.0632427980121621,,,,,,
3-5세,150,300,1.75,1.0,0.6800000000000002,0.52,4,6,0.0,,,2.0,0.8746279019968443,0.9500691520795993,,,,,,
3-5세,780,1020,3.75,1.5,0.3372781065088758,0.3356401384083045,1,2,1.0,,,0.0,2.022250274881135,5.304131233147585,,,,,,
3-5세,60,180,0.25,0.5,1.0,0.5555555555555556,3,3,0.0,,,1.0,1.0499175626053592,1.695561018941267,,,,,,
3-5세,60,120,0.5,0.25,1.0,1.0,2,9,0.0,,,1.0,1.0305144522557457,2.141241868377528,,,,,,
3-5세,35,40,1.5,0.5,0.7551020408163265,1.0,4,6,0.0,,,1.0,0.8589383483030139,1.9879495893438954,,,,,,
3-5세,300,420,2.5,1.5,0.3600000000000001,0.4285714285714285,2,2,0.0,,,0.0,1.54318805278495,2.1515724123225324,,,,,,
3-5세,66,66,2.5,1.0,0.8347107438016528,0.8347107438016528,6,6,0.0,,,1.0,1.4951542844872725,0.5583643068073967,,,,,,
3-5세,120,180,2.25,0.75,0.375,0.3333333333333333,5,5,0.0,,,2.0,1.2952134141970133,0.18378453782264526,,,,,,
3-5세,120,120,2.5,0.25,0.5,1.0,3,5,0.0,,,1.0,1.3993634782475193,1.0084108372924618,,,,,,
3-5세,90,90,1.75,0.75,0.5555555555555556,0.5555555555555556,3,3,0.0,,,2.0,0.8120082231439233,1.088003923463892,,,,,,
3-5세,80,80,2.75,1.0,0.25,0.25,3,3,0.0,,,2.0,1.8244897999151535,0.17847815403094947,,,,,,
3-5세,300,480,3.25,1.25,0.44,0.46875,6,6,0.0,,,0.0,1.805505618894375,1.8575286181336073,,,,,,
3-5세,120,120,2.5,1.0,0.5,0.5,6,6,0.0,,,2.0,1.3118528187730492,0.2649256812899985,,,,,,
3-5세,120,120,2.5,0.5,0.5,1.0,4,5,0.0,,,1.0,1.2772216202875373,0.781251653648535,,,,,,
3-5세,0,60,0.0,0.25,0.0,1.0,2,6,0.0,,,1.0,1.8281323141675847,1.9085751703793108,,,,,,
3-5세,120,160,2.5,0.75,0.375,0.34375,5,4,0.0,,,2.0,1.352062896017383,0.21129476690453974,,,,,,
3-5세,20,120,1.25,0.5,1.0,1.0,6,6,0.0,,,1.0,0.8270764365835516,1.954125002996188,,,,,,
3-5세,180,180,2.5,1.0,0.5555555555555556,0.5555555555555556,3,3,0.0,,,2.0,0.7853763232222348,0.98783791550794,,,,,,
3-5세,20,40,1.25,0.5,1.0,1.0,9,9,0.0,,,1.0,0.9961297113939869,2.0606074828130305,,,,,,
3-5세,60,150,0.75,0.5,1.0,1.0,2,6,0.0,,,1.0,0.7878927885079803,1.9412073199728435,,,,,,
3-5세,40,70,0.75,0.75,0.375,0.4285714285714285,4,5,0.0,,,2.0,1.077364637217598,1.4886707485411899,,,,,,
3-5세,20,50,0.75,0.5,1.0,0.52,4,6,0.0,,,1.0,0.9937408518479648,2.040683579362647,,,,,,
3-5세,40,60,1.5,0.5,0.625,1.0,3,6,0.0,,,1.0,0.7651519906161461,1.9534441085822636,,,,,,
3-5세,45,130,2.25,1.0,0.5555555555555556,0.8579881656804735,4,5,0.0,,,2.0,1.347569126030165,0.4542238218139316,,,,,,
3-5세,180,180,1.25,0.5,1.0,1.0,2,3,0.0,,,1.0,1.1722441380905524,1.0423480146729909,,,,,,
3-5세,90,180,1.75,0.75,0.5555555555555556,0.5555555555555556,5,6,0.0,,,2.0,0.9042748774865367,0.6141181110969097,,,,,,
3-5세,420,780,2.75,1.25,0.5510204081632654,0.5384615384615384,3,5,0.0,,,0.0,1.9079101036302917,2.1644675645472566,,,,,,
3-5세,30,0,1.25,0.0,1.0,0.0,5,9,0.0,,,1.0,2.0518198412945927,1.650703736639945,,,,,,
3-5세,80,140,2.5,1.0,0.625,0.7551020408163265,4,4,0.0,,,2.0,1.43830811515172,0.054134125818414924,,,,,,
3-5세,60,120,0.5,0.5,1.0,1.0,6,5,0.0,,,1.0,0.8573429648541392,2.058128390246471,,,,,,
3-5세,30,40,1.5,0.75,0.5555555555555556,0.625,3,3,0.0,,,2.0,0.9201005833588538,1.5578711417314586,,,,,,
3-5세,450,450,2.5,1.25,0.3333333333333333,0.3333333333333333,6,6,0.0,,,0.0,2.5141943172621795,0.5454202735470459,,,,,,
3-5세,300,240,1.25,0.75,0.52,0.5,4,4,0.0,,,2.0,1.6190885062099605,0.5472828936652434,,,,,,
3-5세,210,210,2.25,1.5,0.4285714285714285,0.4285714285714285,6,6,0.0,,,2.0,0.8989014249674051,1.689482323210298,,,,,,
3-5세,150,240,3.25,1.5,0.3600000000000001,0.375,4,4,0.0,,,2.0,1.0344748873493474,1.8767161732986144,,,,,,
3-5세,360,360,2.5,1.0,0.5,0.5,3,4,0.0,,,2.0,1.5495446336659495,1.749795917310756,,,,,,
3-5세,300,360,1.75,0.75,0.3600000000000001,0.3888888888888889,6,6,0.0,,,2.0,1.5177589978964874,1.2427255034284275,,,,,,
3-5세,120,60,1.5,1.0,0.5,0.5,3,3,0.0,,,2.0,1.250743283632051,0.6399511330028618,,,,,,
3-5세,90,360,0.75,1.0,0.3333333333333333,0.5,4,4,0.0,,,2.0,1.8224658430657723,0.3131659917752676,,,,,,
3-5세,0,90,0.0,0.5,0.0,1.0,3,3,0.0,,,1.0,1.6983098789658144,1.7345317220197027,,,,,,
3-5세,120,240,2.5,1.0,0.5,0.625,6,6,0.0,,,2.0,0.7715904726211278,0.9847938102186553,,,,,,
